patent_id,compound_name,NR_phr,SBR_phr,BR_phr,NBR_phr,EPDM_phr,IIR_phr,FKM_phr,ENR_phr,CR_phr,carbon_black_phr,silica_phr,silane_coupling_phr,oil_phr,resin_phr,antioxidant_phr,wax_phr,sulfur_phr,primary_accelerator_phr,secondary_accelerator_phr,zinc_oxide_phr,stearic_acid_phr,accelerator_phr,primary_accelerator_raw,primary_accelerator_type,secondary_accelerator_raw,secondary_accelerator_type,antioxidant_raw,antioxidant_type,sulfur_type,cure_system_type,oil_raw,oil_type,is_oil_extended,silane_raw,silane_type,SBR_type,SBR_styrene_content_pct,SBR_vinyl_content_pct,SBR_grade,BR_cis_content_pct,BR_grade,NR_grade,elastomer_mooney_raw,CB_grade,CB_N2SA_m2g,CB_DBP_ml100g,CB_CTAB_m2g,silica_grade,silica_N2SA_m2g,silica_CTAB_m2g,mixer_type,mooney_viscosity,mooney_scorch_t5,ts2_min,Tc10_min,t90_min,Tc50_min,hardness_shore_A,M100_MPa,M300_MPa,tensile_strength_MPa,elongation_at_break_percent,tan_delta_0C,tan_delta_60C,abrasion_loss_mm3,rebound_60C_percent,mixing_temp_C,vulcanization_temp_C,vulcanization_time_min,mixing_stages,nonproductive_drop_temp_C,productive_drop_temp_C,qc_hard_issues,qc_soft_issues,qc_flags,qc_repaired
JP5658098B2,Comparative Example 5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,0.5,1.5,0.0,2.0,2.0,1.5,Noceller NS,TBBS,Noceller D,DPG,Nocrack 6C,6PPD,soluble,CV,X140,TDAE,,Si69,TESPT,ESBR,23.5,,SBR1502,97.0,BR130B,,,Dia Black I,114.0,,,Ultrasil VN3,175.0,,Banbury,55.0,7.5,,,,,,,,,,,,,,150.0,170.0,20.0,2.0,150.0,60.0,,,,False
JP5658098B2,Comparative Example 6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,0.5,1.5,0.0,2.0,2.0,1.5,Noceller NS,TBBS,Noceller D,DPG,Nocrack 6C,6PPD,soluble,CV,X140,TDAE,,Si69,TESPT,ESBR,23.5,,SBR1502,97.0,BR130B,,,Dia Black I,114.0,,,Ultrasil VN3,175.0,,Banbury,57.0,7.0,,,,,,,,,,,,,,150.0,170.0,20.0,2.0,150.0,60.0,,,,False
JP5658098B2,Comparative Example 7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,0.5,1.5,0.0,2.0,2.0,1.5,Noceller NS,TBBS,Noceller D,DPG,Nocrack 6C,6PPD,soluble,CV,X140,TDAE,,Si69,TESPT,ESBR,23.5,,SBR1502,97.0,BR130B,,,Dia Black I,114.0,,,Ultrasil VN3,175.0,,Banbury,56.0,7.5,,,,,,,,,,,,,,150.0,170.0,20.0,2.0,150.0,60.0,,,,False
JP5658098B2,Comparative Example 8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,0.5,1.5,0.0,2.0,2.0,1.5,Noceller NS,TBBS,Noceller D,DPG,Nocrack 6C,6PPD,soluble,CV,X140,TDAE,,Si69,TESPT,ESBR,23.5,,SBR1502,97.0,BR130B,,,Dia Black I,114.0,,,Ultrasil VN3,175.0,,Banbury,58.0,6.5,,,,,,,,,,,,,,150.0,170.0,20.0,2.0,150.0,60.0,,,,False
JP5658098B2,Comparative Example 9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,0.5,1.5,0.0,2.0,2.0,1.5,Noceller NS,TBBS,Noceller D,DPG,Nocrack 6C,6PPD,soluble,CV,X140,TDAE,,Si69,TESPT,ESBR,23.5,,SBR1502,97.0,BR130B,,,Dia Black I,114.0,,,Ultrasil VN3,175.0,,Banbury,60.0,6.0,,,,,,,,,,,,,,150.0,170.0,20.0,2.0,150.0,60.0,,,,False
JP6521611B2,Example 1,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noccelar NS,TBBS,Nocceler D,DPG,Noclack 6C,6PPD,soluble,CV,PS-32,paraffinic,False,Si266,TESPD,,,,,95.0,BR730,RSS3,,Diablack I,114.0,,,ULTRASIL VN3,175.0,,Banbury,,,,,,,,,,,,,,,,150.0,170.0,12.0,3.0,150.0,150.0,,,,False
JP6521611B2,Example 2,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noccelar NS,TBBS,Nocceler D,DPG,Noclack 6C,6PPD,soluble,CV,PS-32,paraffinic,False,Si266,TESPD,,,,,95.0,BR730,RSS3,,Diablack I,114.0,,,ULTRASIL VN3,175.0,,Banbury,,,,,,,,,,,,,,,,150.0,170.0,12.0,3.0,150.0,150.0,,,,False
JP6521611B2,Example 3,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noccelar NS,TBBS,Nocceler D,DPG,Noclack 6C,6PPD,soluble,CV,PS-32,paraffinic,False,Si266,TESPD,,,,,95.0,BR730,RSS3,,Diablack I,114.0,,,ULTRASIL VN3,175.0,,Banbury,,,,,,,,,,,,,,,,150.0,170.0,12.0,3.0,150.0,150.0,,,,False
JP6521611B2,Example 4,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noccelar NS,TBBS,Nocceler D,DPG,Noclack 6C,6PPD,soluble,CV,PS-32,paraffinic,False,Si266,TESPD,,,,,95.0,BR730,RSS3,,Diablack I,114.0,,,ULTRASIL VN3,175.0,,Banbury,,,,,,,,,,,,,,,,150.0,170.0,12.0,3.0,150.0,150.0,,,,False
JP6521611B2,Comparative Example 1,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noccelar NS,TBBS,Nocceler D,DPG,Noclack 6C,6PPD,soluble,CV,PS-32,paraffinic,False,Si266,TESPD,,,,,95.0,BR730,RSS3,,Diablack I,114.0,,,ULTRASIL VN3,175.0,,Banbury,,,,,,,,,,,,,,,,150.0,170.0,12.0,3.0,150.0,150.0,,,,False
JP6521611B2,Comparative Example 2,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noccelar NS,TBBS,Nocceler D,DPG,Noclack 6C,6PPD,soluble,CV,PS-32,paraffinic,False,Si266,TESPD,,,,,95.0,BR730,RSS3,,Diablack I,114.0,,,ULTRASIL VN3,175.0,,Banbury,,,,,,,,,,,,,,,,150.0,170.0,12.0,3.0,150.0,150.0,,,,False
JP6521611B2,Comparative Example 3,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noccelar NS,TBBS,Nocceler D,DPG,Noclack 6C,6PPD,soluble,CV,PS-32,paraffinic,False,Si266,TESPD,,,,,95.0,BR730,RSS3,,Diablack I,114.0,,,ULTRASIL VN3,175.0,,Banbury,,,,,,,,,,,,,,,,150.0,170.0,12.0,3.0,150.0,150.0,,,,False
JP3676900B2,Experiment A,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mixed aryl-p-phenylenediamine type,6PPD,soluble,CV,high aromatic type,TDAE,True,,,ESBR,40.0,,SBR1721,,,SMR5,,N234,,,,,,,Banbury,,,,,,,,,,,,,,,,175.0,,,4.0,150.0,125.0,,,,False
JP3676900B2,Experiment B,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mixed aryl-p-phenylenediamine type,6PPD,soluble,CV,high aromatic type,TDAE,True,,,ESBR,40.0,,SBR1721,,,SMR5,,N234,,,,,,,Banbury,,,,,,,,,,,,,,,,175.0,,,4.0,150.0,125.0,,,,False
JP3676900B2,Experiment C,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mixed aryl-p-phenylenediamine type,6PPD,soluble,CV,high aromatic type,TDAE,True,"organosilane tetrasulfide (50% active on carbon black, 50/50 weight ratio, material X50S)",TESPT,ESBR,40.0,,SBR1721,,,SMR5,,N234,,,,,,,Banbury,,,,,,,,,,,,,,,,175.0,,,4.0,150.0,125.0,,,,False
JP7149686B2,Standard Example,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noxeller CZ-G,CBS,Soxinol D-G,DPG,SANTOFLEX 6PPD,6PPD,insoluble,CV,Extract No. 4S,TDAE,False,Si69,TESPT,SSBR,,,NIPOL 1502,,Nipol BR1220,,,Show Black N339,,,,Zeosil 1165MP,,159.0,Banbury,,,,,,,,,,,,,,,,,160.0,20.0,2.0,,,,,,False
JP7149686B2,Example 1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noxeller CZ-G,CBS,Soxinol D-G,DPG,SANTOFLEX 6PPD,6PPD,insoluble,CV,Extract No. 4S,TDAE,False,Si69,TESPT,SSBR,,,NIPOL 1502,,Nipol BR1220,,,Show Black N339,,,,Zeosil 1165MP,,159.0,Banbury,,,,,,,,,,,,,,,,,160.0,20.0,2.0,,,,,,False
JP7149686B2,Example 2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noxeller CZ-G,CBS,Soxinol D-G,DPG,SANTOFLEX 6PPD,6PPD,insoluble,CV,Extract No. 4S,TDAE,False,Si69,TESPT,SSBR,,,NIPOL 1502,,Nipol BR1220,,,Show Black N339,,,,Zeosil 1165MP,,159.0,Banbury,,,,,,,,,,,,,,,,,160.0,20.0,2.0,,,,,,False
JP7149686B2,Example 3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noxeller CZ-G,CBS,Soxinol D-G,DPG,SANTOFLEX 6PPD,6PPD,insoluble,CV,Extract No. 4S,TDAE,False,Si69,TESPT,SSBR,,,NIPOL 1502,,Nipol BR1220,,,Show Black N339,,,,Zeosil 1165MP,,159.0,Banbury,,,,,,,,,,,,,,,,,160.0,20.0,2.0,,,,,,False
