target,split,model,r2_mean,r2_std,mae_mean,mae_std,n_mean
elongation_at_break_percent,patent,hgb,0.14657337768067655,0.2460583383897324,82.53443884472362,9.90474353598867,310.6
elongation_at_break_percent,patent,pls,-0.11958313149381183,0.3590713443814199,99.28436405826608,19.010512364435705,310.6
elongation_at_break_percent,patent,rf,0.23742226668565758,0.16534152538742988,79.30627979594419,7.751529478518386,310.6
elongation_at_break_percent,patent,ridge,0.1363329786359039,0.22367362140632396,85.7055052359602,10.757533941258151,310.6
elongation_at_break_percent,random,dummy,-0.0019131648602054518,0.001981269205125498,94.8886611041996,3.5476109125399744,310.6
elongation_at_break_percent,random,hgb,0.6629754387346267,0.08844564950345662,46.50463682114904,4.716615768657049,310.6
elongation_at_break_percent,random,pls,0.499854544347823,0.09624123973895873,64.14258281187986,5.018087620581007,310.6
elongation_at_break_percent,random,rf,0.6895532765493544,0.07942457798096741,45.9939127389693,4.394795198684241,310.6
elongation_at_break_percent,random,ridge,0.4992458423323739,0.1053399982071515,64.46294965693792,5.20806391774761,310.6
hardness_shore_A,patent,dummy,-0.16207478022761412,0.21483451017207003,7.0215268443889105,2.653600310964609,209.4
hardness_shore_A,patent,hgb,-0.3358442608169313,0.9763280513807714,7.4645201561754435,4.635287725053899,209.4
hardness_shore_A,patent,pls,-1.178177131545168,0.9646153601003717,9.27433010895541,2.029700910246506,209.4
hardness_shore_A,patent,rf,-0.240104494447709,1.035305252873377,7.270078839467331,4.758854640593156,209.4
hardness_shore_A,patent,ridge,-0.46542905324563605,0.616907033086025,7.425561337444867,1.744448159263439,209.4
hardness_shore_A,random,dummy,-0.0009229530358022764,0.001085490868394111,6.788288323894241,0.19980176379409953,209.4
hardness_shore_A,random,hgb,0.8402248478672316,0.06297275646233094,2.3269913904430473,0.2682835318438027,209.4
hardness_shore_A,random,pls,0.6154678849067512,0.14716500035907298,4.085408325512161,0.28100854317685764,209.4
hardness_shore_A,random,rf,0.8498872202116285,0.04379956637562901,2.3280992629588617,0.1544381926837685,209.4
hardness_shore_A,random,ridge,0.6286676143841013,0.12626619374765843,4.064136502224124,0.26944769354239645,209.4
mooney_scorch_t5,patent,dummy,-0.17556780934066,0.15530945069967508,5.895303960800199,1.1722934908576728,78.4
mooney_scorch_t5,patent,hgb,-0.11711037580901473,0.776880923481059,5.404083388644869,2.131642777710979,78.4
mooney_scorch_t5,patent,pls,-5.786555447629963,5.758953469942135,11.2032773537387,2.3101997036101025,78.4
mooney_scorch_t5,patent,rf,0.07356934131371204,0.42806189968236896,5.039673206010195,1.5770959948328904,78.4
mooney_scorch_t5,patent,ridge,-3.4417565488643733,4.511292350020776,8.719179885061669,1.8273822940956008,78.4
mooney_scorch_t5,random,dummy,-0.038454149788427074,0.027412955292896935,5.7673831024465425,0.5571991026990449,78.4
mooney_scorch_t5,random,hgb,0.7125292677325106,0.11872379362404403,2.6555856825464983,0.40625695136770995,78.4
mooney_scorch_t5,random,pls,0.5866644282071682,0.08826205617000438,3.3795953822112685,0.48528675337623617,78.4
mooney_scorch_t5,random,rf,0.730859870302042,0.09459848629107373,2.619115414397131,0.40043900292821655,78.4
mooney_scorch_t5,random,ridge,0.5699686860676497,0.16569722439982365,3.3858890908356734,0.48626082009522037,78.4
mooney_viscosity,patent,dummy,-0.05371645900194073,0.03488242503685886,18.42742022962833,2.3674715363723426,255.6
mooney_viscosity,patent,hgb,-0.15833018982909375,0.47943777490731193,18.91834039062699,3.0778927502988154,255.6
mooney_viscosity,patent,pls,-0.9266610285086534,1.0653537556182582,22.482601921311634,6.69357968464121,255.6
mooney_viscosity,patent,rf,0.05654682929386057,0.3362887998227741,16.74187901055264,2.9251585951588397,255.6
mooney_viscosity,patent,ridge,-0.6276977437978789,0.883815832326042,21.503438547107454,5.033657611549534,255.6
mooney_viscosity,random,dummy,-0.0025075870592182526,0.003563928573554032,18.211624722921595,0.6392295463930067,255.6
mooney_viscosity,random,hgb,0.7819166303559102,0.03667944205925364,6.8904262591011545,0.3168548025877252,255.6
mooney_viscosity,random,pls,0.6022710110888749,0.04521053134741728,9.82934561803427,0.4364610254780056,255.6
mooney_viscosity,random,rf,0.772744406065852,0.028241624568714718,6.962887230134574,0.2953341452908341,255.6
mooney_viscosity,random,ridge,0.6150297232513651,0.04634356282681309,10.121693162142863,0.4367882909907583,255.6
