target,repr,split,model,fold,n_test,r2,mae
mooney_viscosity,polybert,patent,hgb,2,256,0.14924014626435655,18.459340580836383
mooney_viscosity,polybert,patent,hgb,3,255,0.039601209589359754,18.05515829854083
mooney_viscosity,polybert,patent,hgb,4,255,0.19221913127327184,14.72365750814624
mooney_viscosity,tp,random,ridge,0,256,0.5722868241285548,10.875626671845488
mooney_viscosity,tp,random,ridge,1,256,0.6203120410369511,10.332780031871613
mooney_viscosity,tp,random,ridge,2,256,0.6441891040060592,10.155258265969493
mooney_viscosity,tp,random,ridge,3,255,0.5544989691228259,11.016694516922335
mooney_viscosity,tp,random,ridge,4,255,0.5194611532639157,10.868761748497302
mooney_viscosity,tp,random,rf,0,256,0.7910138100104598,7.033238070328687
mooney_viscosity,tp,random,rf,1,256,0.7909859556415919,6.453966378409261
mooney_viscosity,tp,random,rf,2,256,0.8109762428565885,7.003548301072344
mooney_viscosity,tp,random,rf,3,255,0.7776469596015058,7.0772144061214295
mooney_viscosity,tp,random,rf,4,255,0.6459477239425262,8.344062699339984
mooney_viscosity,tp,random,hgb,0,256,0.7925664908683306,6.9910264714141706
mooney_viscosity,tp,random,hgb,1,256,0.8082160018135867,6.578210922412427
mooney_viscosity,tp,random,hgb,2,256,0.8251963548304961,6.5340170841391885
mooney_viscosity,tp,random,hgb,3,255,0.7621345877798018,7.307125013744582
mooney_viscosity,tp,random,hgb,4,255,0.6868907822615664,7.7827674344286475
mooney_viscosity,tp,patent,ridge,0,256,-2.0227713102231877,29.85938766272389
mooney_viscosity,tp,patent,ridge,1,256,-0.34261603256440853,21.028632780187223
mooney_viscosity,tp,patent,ridge,2,256,0.37746779883598025,15.278594145827357
mooney_viscosity,tp,patent,ridge,3,255,-0.0927474095406462,19.902779116816614
mooney_viscosity,tp,patent,ridge,4,255,-1.195912489250102,24.79001741458035
mooney_viscosity,tp,patent,rf,0,256,-0.46018164200762657,19.629383440592896
mooney_viscosity,tp,patent,rf,1,256,-0.28808737377303073,20.60853430531707
mooney_viscosity,tp,patent,rf,2,256,0.267624101083648,16.810404535237147
mooney_viscosity,tp,patent,rf,3,255,0.17734748335767725,15.986692275398259
mooney_viscosity,tp,patent,rf,4,255,0.29226732361438645,13.616476733620448
mooney_viscosity,tp,patent,hgb,0,256,-0.7969730477522965,22.60806151227702
mooney_viscosity,tp,patent,hgb,1,256,-0.3900722548737736,21.566995701696488
mooney_viscosity,tp,patent,hgb,2,256,0.12693981824303247,18.535889259389265
mooney_viscosity,tp,patent,hgb,3,255,0.02133547828884974,18.126058777299832
mooney_viscosity,tp,patent,hgb,4,255,0.1390874478596027,15.451575182225074
mooney_viscosity,plain+polybert,random,ridge,0,256,0.5984357418568563,10.43027295866224
mooney_viscosity,plain+polybert,random,ridge,1,256,0.6526835280724499,9.539498051592663
