target,repr,split,model,r2_mean,r2_std,mae_mean,mae_std
mooney_viscosity,no_elast,patent,ridge,-0.6415785841404761,0.8959058655599766,22.263258914345464,5.29525080429572
mooney_viscosity,no_elast,random,hgb,0.7727363508622677,0.03281239624665964,7.017731636342035,0.4407581247282228
mooney_viscosity,no_elast,random,rf,0.7616481178730179,0.026173263715911537,7.058694715869211,0.2678271420333826
mooney_viscosity,no_elast,random,ridge,0.5514212006386734,0.060693197955856974,11.01910778757464,0.4927392125636555
mooney_viscosity,plain,patent,hgb,-0.15833018982909375,0.47943777490731193,18.91834039062699,3.0778927502988154
mooney_viscosity,plain,patent,rf,0.05654682929386083,0.3362887998227739,16.741879010552637,2.925158595158838
mooney_viscosity,plain,patent,ridge,-0.6276977437978789,0.883815832326042,21.503438547107454,5.033657611549534
mooney_viscosity,plain,random,hgb,0.7819166303559102,0.03667944205925364,6.8904262591011545,0.3168548025877252
mooney_viscosity,plain,random,rf,0.772744406065852,0.028241624568714718,6.962887230134574,0.29533414529083424
mooney_viscosity,plain,random,ridge,0.6150297232513651,0.04634356282681309,10.121693162142863,0.4367882909907583
mooney_viscosity,plain+polybert,patent,hgb,-0.09493068667138857,0.2807310642495831,18.654625282722204,2.2474173855015773
mooney_viscosity,plain+polybert,patent,rf,0.03083030038944721,0.29637173794002186,17.087127557581073,2.5203653772834103
mooney_viscosity,plain+polybert,patent,ridge,-0.5729713495460632,0.8415139852440213,21.117829180999376,4.856447273240174
mooney_viscosity,plain+polybert,random,hgb,0.7770667191176187,0.052300007029540935,7.004580498003437,0.5077151251274602
mooney_viscosity,plain+polybert,random,rf,0.7653943236419248,0.06316823065015702,7.165214699317863,0.6721528223709063
mooney_viscosity,plain+polybert,random,ridge,0.6164334587605206,0.04743120538507039,10.098174801594176,0.43956046947213495
mooney_viscosity,polybert,patent,hgb,-0.05501502714792254,0.25584106224897507,18.186568322749046,2.1278614059909944
mooney_viscosity,polybert,patent,rf,0.004446123938331281,0.341546396679368,17.31579352278859,2.8352275390302952
mooney_viscosity,polybert,patent,ridge,-0.6484196198326,0.9314355395096887,22.165646542832633,5.373854736383524
mooney_viscosity,polybert,random,hgb,0.773263659496074,0.055410102164002224,7.021436777134878,0.5208975778677513
mooney_viscosity,polybert,random,rf,0.7662903763594671,0.06381645956117538,7.147877671659001,0.6632019326247518
mooney_viscosity,polybert,random,ridge,0.5816434229963625,0.05010014548375152,10.649236932947442,0.3699642045378103
