target,split,model,fold,n_train,n_test,r2,mae,time_s
tensile_strength_MPa,random,dummy,4,1366,341,-0.012476651269975658,3.9538934921405047,0.21
tensile_strength_MPa,random,ridge,0,1365,342,0.5864201168891945,2.4366245117053267,0.05
tensile_strength_MPa,random,ridge,1,1365,342,0.5215034981664954,2.3587733356098624,0.15
tensile_strength_MPa,random,ridge,2,1366,341,0.4026649938312119,2.33711269641105,0.23
tensile_strength_MPa,random,ridge,3,1366,341,0.5981936240621758,2.607605782413231,0.28
tensile_strength_MPa,random,ridge,4,1366,341,0.19362261717866436,3.129115030900588,0.33
tensile_strength_MPa,random,pls,0,1365,342,0.505812196953953,2.534504796509366,0.07
tensile_strength_MPa,random,pls,1,1365,342,0.5819117042014968,2.2601188275542827,0.14
tensile_strength_MPa,random,pls,2,1366,341,0.3885804601939399,2.4689048745483655,0.2
tensile_strength_MPa,random,pls,3,1366,341,0.6063493835135321,2.5936924193217443,0.25
tensile_strength_MPa,random,pls,4,1366,341,0.2090707626381818,3.1525315902479987,0.32
tensile_strength_MPa,random,rf,0,1365,342,0.8727763668034081,1.352265849292855,0.81
tensile_strength_MPa,random,rf,1,1365,342,0.8242065026550428,1.474533327762965,1.6
tensile_strength_MPa,random,rf,2,1366,341,0.742701869049665,1.4236684089766884,2.46
tensile_strength_MPa,random,rf,3,1366,341,0.8344941155083115,1.59927426387439,3.3
tensile_strength_MPa,random,rf,4,1366,341,0.7047936339247889,1.8517067495706896,4.1
tensile_strength_MPa,random,hgb,0,1365,342,0.8554538365147427,1.344262248209655,1.15
tensile_strength_MPa,random,hgb,1,1365,342,0.8560963878064691,1.367760842734588,2.33
tensile_strength_MPa,random,hgb,2,1366,341,0.7465731522049452,1.4046787251563397,3.53
tensile_strength_MPa,random,hgb,3,1366,341,0.8362909655615113,1.5704459240197703,4.73
tensile_strength_MPa,random,hgb,4,1366,341,0.7215306461800558,1.7908722459491069,5.92
tensile_strength_MPa,patent,dummy,0,1365,342,-0.02060110930631276,2.829481331533963,0.04
tensile_strength_MPa,patent,dummy,1,1365,342,-0.007993351077302258,3.230853179958443,0.08
tensile_strength_MPa,patent,dummy,2,1366,341,-0.01260889678007171,3.3412553616741736,0.12
tensile_strength_MPa,patent,dummy,3,1366,341,-0.0011845443564364455,3.6083969699832115,0.16
tensile_strength_MPa,patent,dummy,4,1366,341,-0.024270357849502266,5.069684405095684,0.2
tensile_strength_MPa,patent,ridge,0,1365,342,-0.05028667509519469,3.1858373400280753,0.07
tensile_strength_MPa,patent,ridge,1,1365,342,-0.26753312832412646,3.753921223612553,0.12
tensile_strength_MPa,patent,ridge,2,1366,341,-0.5918590584844945,4.052047746836651,0.17
tensile_strength_MPa,patent,ridge,3,1366,341,-0.9742524313082266,4.6915959288624665,0.23
tensile_strength_MPa,patent,ridge,4,1366,341,-0.06564722550472157,5.19212146188767,0.31
tensile_strength_MPa,patent,pls,0,1365,342,-0.45901739560455246,3.8738758031613743,0.09
tensile_strength_MPa,patent,pls,1,1365,342,-1.5744859673054128,5.184424079133522,0.16
tensile_strength_MPa,patent,pls,2,1366,341,-2.3181494075127547,6.311248259624354,0.23
tensile_strength_MPa,patent,pls,3,1366,341,-1.9892641887397295,6.2319124589060175,0.29
tensile_strength_MPa,patent,pls,4,1366,341,-0.255918117398811,6.085359730735609,0.35
tensile_strength_MPa,patent,rf,0,1365,342,-0.01385325997694542,2.38670278774449,0.83
tensile_strength_MPa,patent,rf,1,1365,342,-0.01685683737427257,3.341643168241944,1.81
tensile_strength_MPa,patent,rf,2,1366,341,0.2587492331937288,2.8196421595989056,2.65
tensile_strength_MPa,patent,rf,3,1366,341,0.00812665007574942,3.3173107004610043,3.57
tensile_strength_MPa,patent,rf,4,1366,341,0.04716392275379977,4.489864319358654,4.4
tensile_strength_MPa,patent,hgb,0,1365,342,0.18211462335836315,2.4247421874974933,1.47
tensile_strength_MPa,patent,hgb,1,1365,342,0.10482558278733556,2.9546481601977947,2.96
tensile_strength_MPa,patent,hgb,2,1366,341,-0.7426148457562349,3.6449135890511926,4.67
tensile_strength_MPa,patent,hgb,3,1366,341,-1.2571115698765727,3.9848854814242185,6.2
tensile_strength_MPa,patent,hgb,4,1366,341,-0.03796230817827606,5.075916937114391,7.64
elongation_at_break_percent,random,dummy,0,1242,311,-0.0007432231026149871,91.23747704925673,0.04
elongation_at_break_percent,random,dummy,1,1242,311,-0.0005250924822479686,92.66957826552961,0.08
elongation_at_break_percent,random,dummy,2,1242,311,-0.0003868495775367631,98.67043781164081,0.12
elongation_at_break_percent,random,dummy,3,1243,310,-0.003023747509120156,93.13970298185968,0.16
elongation_at_break_percent,random,dummy,4,1243,310,-0.0048869116295073844,98.72610941271118,0.2
elongation_at_break_percent,random,ridge,0,1242,311,0.5291570691883458,62.91513223508171,0.05
elongation_at_break_percent,random,ridge,1,1242,311,0.5671263650037368,61.93645567334394,0.12
elongation_at_break_percent,random,ridge,2,1242,311,0.4311202105989915,66.31405169511524,0.17
elongation_at_break_percent,random,ridge,3,1243,310,0.61441753924727,58.72550697018298,0.24
elongation_at_break_percent,random,ridge,4,1243,310,0.3544080276235253,72.42360171096578,0.31
elongation_at_break_percent,random,pls,0,1242,311,0.49842498693329906,62.27334799949568,0.08
elongation_at_break_percent,random,pls,1,1242,311,0.5676155881397746,62.70060856345679,0.14
elongation_at_break_percent,random,pls,2,1242,311,0.4424928034618023,65.36649636757686,0.2
elongation_at_break_percent,random,pls,3,1243,310,0.6160454867666035,58.42327561486879,0.25
elongation_at_break_percent,random,pls,4,1243,310,0.37469385643763553,71.94918551400117,0.31
